Project,Analyzer,Direct Precision,Direct Recall,Direct F1,Transitive Precision,Transitive Recall,Transitive F1
commons-configuration,build-info-go,0,0,0,0,0,0
commons-configuration,cdxgen,100,45.45,62.5,100,33.33,50
commons-configuration,cyclonedx-maven-plugin,100,45.45,62.5,100,33.33,50
commons-configuration,depscan,100,45.45,62.5,100,33.33,50
commons-configuration,jbom,0,0,0,0,0,0
commons-configuration,openrewrite,100,45.45,62.5,100,33.33,50
selenese-runner-java,build-info-go,100,100,100,100,100,100
selenese-runner-java,cdxgen,100,81.82,90,100,78.95,88.24
selenese-runner-java,cyclonedx-maven-plugin,100,81.82,90,100,85.09,91.94
selenese-runner-java,depscan,100,81.82,90,100,78.95,88.24
selenese-runner-java,jbom,77.27,77.27,77.27,0,0,0
selenese-runner-java,openrewrite,100,81.82,90,93.75,78.95,85.71
undertow,build-info-go,100,39.29,56.41,91.23,97.2,94.12
undertow,cdxgen,0,0,0,64.29,16.82,26.67
undertow,cyclonedx-maven-plugin,66.67,14.29,23.53,75,16.82,27.48
undertow,depscan,66.67,14.29,23.53,75,16.82,27.48
undertow,jbom,0,0,0,0,0,0
undertow,openrewrite,0,0,0,0,0,0
javaparser,build-info-go,100,27.78,43.48,100,21.21,35
javaparser,cdxgen,0,0,0,71.43,30.3,42.55
javaparser,cyclonedx-maven-plugin,40,22.22,28.57,90,27.27,41.86
javaparser,depscan,40,22.22,28.57,90,27.27,41.86
javaparser,jbom,24,33.33,27.91,0,0,0
javaparser,openrewrite,0,0,0,0,0,0
webcam-capture,build-info-go,0,0,0,0,0,0
webcam-capture,cdxgen,50,6.25,11.11,30.1,88.57,44.93
webcam-capture,cyclonedx-maven-plugin,50,6.25,11.11,30.1,88.57,44.93
webcam-capture,depscan,50,6.25,11.11,30.1,88.57,44.93
webcam-capture,jbom,42.11,50,45.71,0,0,0
webcam-capture,openrewrite,0,0,0,0,0,0
accumulo,build-info-go,100,57.85,73.3,100,67.72,80.75
accumulo,cdxgen,60,2.48,4.76,88.89,91.14,90
accumulo,cyclonedx-maven-plugin,88.89,13.22,23.02,89.86,84.18,86.93
accumulo,depscan,88.89,13.22,23.02,89.86,84.18,86.93
accumulo,jbom,0,0,0,0,0,0
accumulo,openrewrite,100,0.83,1.64,100,0.63,1.26
CoreNLP,build-info-go,100,86.96,93.02,100,66.67,80
CoreNLP,cdxgen,100,86.96,93.02,100,66.67,80
CoreNLP,cyclonedx-maven-plugin,100,86.96,93.02,92.86,72.22,81.25
CoreNLP,depscan,100,86.96,93.02,100,66.67,80
CoreNLP,jbom,46.94,100,63.89,12.5,5.56,7.69
CoreNLP,openrewrite,100,86.96,93.02,85.71,66.67,75
async-http-client,build-info-go,0,0,0,0,0,0
async-http-client,cdxgen,0,0,0,60.98,36.23,45.45
async-http-client,cyclonedx-maven-plugin,57.14,10,17.02,64.86,34.78,45.28
async-http-client,depscan,57.14,10,17.02,64.86,34.78,45.28
async-http-client,jbom,8.33,5,6.25,0,0,0
async-http-client,openrewrite,100,5,9.52,0,0,0
para,build-info-go,97.78,53.66,69.29,84.67,51.79,64.27
para,cdxgen,33.33,1.22,2.35,86.36,76.34,81.04
para,cyclonedx-maven-plugin,60,3.66,6.9,86.73,75.89,80.95
para,depscan,60,3.66,6.9,86.67,75.45,80.67
para,jbom,6.71,34.15,11.22,0,0,0
para,openrewrite,0,0,0,0,0,0
jenkins,build-info-go,100,7.07,13.21,87.84,97.5,92.42
jenkins,cdxgen,66.67,4.04,7.62,91.43,48,62.95
jenkins,cyclonedx-maven-plugin,77.78,7.07,12.96,92,46,61.33
jenkins,depscan,77.78,7.07,12.96,92,46,61.33
jenkins,jbom,3.91,5.05,4.41,65.77,36.5,46.95
jenkins,openrewrite,0,0,0,0,0,0
spoon,build-info-go,100,40.91,58.06,100,43.75,60.87
spoon,cdxgen,100,40.91,58.06,100,43.75,60.87
spoon,cyclonedx-maven-plugin,100,40.91,58.06,100,43.75,60.87
spoon,depscan,100,40.91,58.06,100,43.75,60.87
spoon,jbom,16.85,68.18,27.03,0,0,0
spoon,openrewrite,100,40.91,58.06,93.33,43.75,59.57
alluxio,build-info-go,0,0,0,0,0,0
alluxio,cdxgen,0,0,0,0,0,0
alluxio,cyclonedx-maven-plugin,0,0,0,0,0,0
alluxio,depscan,0,0,0,0,0,0
alluxio,jbom,1.27,9.09,2.23,17.5,1.2,2.25
